"DATE","interval_vector_char","interval_edge_diff","GPSDistanceMeter","ESU_start","ESU_end","nb_pings_by_interval","Time_start","Time_end","Lat_start","Lat_end","Lon_start","Lon_end","Depth_start","Depth_end","Depth_std","Rugosity","Sloap","Time_mean","Lat_mean","Lon_mean","Depth_mean","SaFish_70","SaFish_200","SaNoFish_70","SaNoFish_200","FAROFA"
"2019-04-20","1477500-1478000",0.116132815601304,1477999.88386718,812143,814449,2307,737535.568197922,737535.570518326,-3.83957406389505,-3.83714359615043,-32.4351628524064,-32.4377640117245,24.866,31.139,1.8246076281191,0.532862865550682,0.0125509980635786,737535.569364445,-3.83843342318237,-32.436541041414,28.5195314101221,19.21404,7.880417,59.55234,17.40657,3
"2019-04-20","1478000-1478500",0.0593892994802445,1478499.9406107,814450,816760,2310,737535.570519337,737535.57285623,-3.83714272017211,-3.83421538133759,-32.4377655008876,-32.4396877551267,31.102,35.482,1.29858969775556,0.533187123072179,0.00876237044690023,737535.571697008,-3.83577274602075,-32.4389050968737,32.9825426852002,0,0,77.06689,20.28858,3
"2019-04-20","1478500-1479000",0.10117103299126,1478999.89882897,816761,819023,2263,737535.572857251,737535.575176111,-3.83421384648244,-3.83077232489874,-32.4396880259835,-32.4390106399026,35.519,38.34,1.10509565976178,0.538361896686117,0.00564443014566688,737535.574016599,-3.8325621401025,-32.4394665847762,36.946645730382,6.420442,8.136723,79.67983,22.48064,3
"2019-04-20","1479000-1479500",0.117746009491384,1479499.88225399,819024,820844,1821,737535.575177144,737535.577544304,-3.83077216523451,-3.82889083526634,-32.4390130776433,-32.4412933146482,38.303,51.741,4.20895975033038,0.582996825722174,0.0268914851636288,737535.576230789,-3.82963902710239,-32.4397679189298,44.2353948345213,46.48648,21.63183,102.0688,26.42457,3
"2019-04-20","1479500-1480000",0.0537385051138699,1479999.94626149,820845,822370,1526,737535.577545987,737535.580139193,-3.82889083526634,-3.82783799572005,-32.4412954007314,-32.4447173120039,51.741,54.859,2.03079645382999,0.620439516090668,0.00623809220472568,737535.578843704,-3.82841550190295,-32.4430308899143,52.2594074929144,923.162,531.0031,169.2289,31.76161,3
"2019-04-20","1480000-1480500",0.0613315219525248,1480499.93866848,822371,823858,1488,737535.580140992,737535.582683565,-3.82783437534859,-3.82723944564185,-32.4447237238524,-32.4480123559844,54.933,58.72,1.31102521246468,0.614272485037491,0.00758653129563498,737535.581411682,-3.82751224253324,-32.4463622738086,56.8026848118281,0.9006651,0.5427097,303.3762,51.95599,3
"2019-04-20","1480500-1481000",0.701554294209927,1480999.29844571,823859,825435,1577,737535.582685271,737535.585395524,-3.82723930437292,-3.82628284096453,-32.4480144750183,-32.4515425479414,58.72,58.237,0.567775805498752,0.605678400297712,-0.00096769561806469,737535.584036552,-3.82674808151746,-32.4497691262677,57.6629915273318,613.9705,447.7874,446.1088,70.90992,3
"2019-04-20","1481000-1481500",0.0704452814534307,1481499.92955472,825436,826354,919,737535.585397265,737535.588343209,-3.82628514637739,-3.82552664925489,-32.4515492745794,-32.4553220876243,58.163,70.413,4.02055071294215,0.661570740676603,0.0245077873931859,737535.58640241,-3.82614156504513,-32.4528564531252,62.8422829162133,6.220201,2.865153,1322.632,139.9357,3
"2019-04-20","1481500-1482000",0.0700081144459546,1481999.92999189,826355,826917,563,737535.588349522,737535.593976573,-3.82551839852824,-3.82411053213406,-32.4553233389269,-32.4582407373546,70.376,265.485799735227,85.5134157531034,0.759382741320284,0.390945574186942,737535.59085518,-3.82480025257901,-32.4574276080469,192.052423507075,72.63649,54.70771,9471.529,4848.771,3
"2019-04-20","1482000-1482500",1.0068764090538,1482498.99312359,826918,827882,922,737535.593988284,737535.605157139,-3.82410702802065,-3.82430767104561,-32.4582304705389,-32.4590504214647,266.166839867045,306.864418769318,24.0584804016309,0.755466736755092,0.0817453698715874,737535.599626749,-3.82402248521779,-32.4585220553217,287.654865027709,2.316052,0.05476665,6741.271,5083.871,3
"2019-04-20","1482500-1483000",1.48679100931622,1482998.51320899,827883,828129,247,737535.605168696,737535.608015922,-3.82432306063508,-3.82427132048718,-32.4590272583778,-32.4607717654143,304.823196596591,399.9951804,55.536464897645,0.791974790242617,0.191713134035585,737535.606592339,-3.82466996186074,-32.4590723280508,309.981414483332,0,0,12460.38,7157.474,3
"2019-04-20","1483000-1483500",0.134830080438405,1483499.86516992,828130,828371,241,737535.608027493,737535.611117939,-3.82426203850994,-3.8270098892066,-32.4607852888389,-32.4601587975457,399.9951804,272.673947376136,42.6046515507937,0.783544218778122,-0.254882657812083,737535.609577447,-3.82511116949846,-32.4608528413215,365.608120397332,0,0,3928.656,2297.117,3
